#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
           4942.9907           0.9961591                       |         6.06500148e+14      8.11872047e-15                    
           4947.0383             1.02253                       |         6.06003918e+14      8.34729764e-15                    
           4951.0858            1.070427                       |         6.05508511e+14      8.75260351e-15                    
           4955.1334            1.040993                       |         6.05013901e+14      8.52585234e-15                    
            4959.181            1.049761                       |         6.04520099e+14      8.61171500e-15                    
           4963.2286            1.039058                       |         6.04027102e+14      8.53783276e-15                    
           4967.2761            1.026351                       |         6.03534921e+14      8.44718112e-15                    
           4971.3237            1.037424                       |         6.03043529e+14      8.55223589e-15                    
           4975.3713           0.9892937                       |         6.02552937e+14      8.16874863e-15                    
           4979.4189            1.017053                       |         6.02063142e+14      8.41163090e-15                    
           4983.4664            0.985366                       |         6.01574155e+14      8.16281469e-15                    
            4987.514            0.976796                       |         6.01085950e+14      8.10497022e-15                    
